drug,uses
sodium picosulfate + liquid paraffin + milk of magnesia,Treatment of Constipation
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
metformin,Treatment of Type 2 diabetes mellitus
bisacodyl,Treatment of Constipation
gabapentin,Treatment of Neuropathic painTreatment of Epilepsy/Seizures
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
gabapentin + methylcobalamin,Treatment of Neuropathic pain
cefpodoxime proxetil + ofloxacin, Bacterial infections
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
griseofulvin, Fungal infections
gliclazide + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
gatifloxacin + prednisolone,Treatment of Bacterial eye infections
metformin,Treatment of Type 2 diabetes mellitus
colchicine,Treatment of Gout
cyproterone + ethinyl estradiol,Treatment of Polycystic ovarian syndrome (PCOS)
gabapentin + nortriptyline,Treatment of Neuropathic pain
"human papillomavirus quadrivalent vaccine, recombinant",Prevention of HPV-associated cancersPrevention of Genital warts (Skin bumps on or around the genital or anal area)
hydroxypropylmethylcellulose, Dry eyes
clotrimazole, Fungal infections of vaginaTreatment of Fungal infections
nitroglycerin,Treatment of Angina (heart-related chest pain)
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
dexamethasone + gatifloxacin,Treatment of Bacterial eye infections
benfotiamine + folic acid + methylcobalamin + pregabalin + vitamin b,Treatment of Neuropathic pain
empagliflozin + linagliptin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
midodrine,Treatment of Low blood pressure
glibenclamide + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
bacillus clausii, Diarrhea
gabapentin,Treatment of Neuropathic painTreatment of Epilepsy/Seizures
chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
vildagliptin,Treatment of Type 2 diabetes mellitus
progesterone, Hormone replacement therapyTreatment of Female infertility
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
cefixime,Treatment of Bacterial infections
gabapentin + methylcobalamin,Treatment of Neuropathic pain
pregabalin + nortriptyline,Treatment of Neuropathic pain
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
pyridostigmine,Treatment of Myasthenia gravisTreatment of Paralytic ileusTreatment of Post-operative urinary retention
lactitol, Constipation
empagliflozin,Treatment of Type 2 diabetes mellitus
gabapentin + lidocaine + baclofen, Neuropathic pain
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
acarbose,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
gabapentin + nortriptyline,Treatment of Neuropathic pain
glipizide,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
cefpodoxime proxetil,Treatment of Bacterial infections
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
glucosamine + diacerein + methyl sulfonyl methane, Osteoarthritis
gabapentin + methylcobalamin,Treatment of Neuropathic pain
glimepiride,Treatment of Type 2 diabetes mellitus
progesterone, Hormone replacement therapyTreatment of Female infertility
itopride,Treatment of HeartburnTreatment of Nausea
granisetron, Nausea and vomiting due to chemotherapy
metformin,Treatment of Type 2 diabetes mellitus
metformin,Treatment of Type 2 diabetes mellitus
gabapentin + amitriptyline, Neuropathic pain
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
empagliflozin + linagliptin,Treatment of Type 2 diabetes mellitus
cefpodoxime proxetil + clavulanic acid,Treatment of Respiratory tract infection
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
dapagliflozin,Treatment of Type 2 diabetes mellitus
allylestrenol,Treatment of Premature LaborTreatment of Recurrent miscarriage
glimepiride,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
glimepiride,Treatment of Type 2 diabetes mellitus
levofloxacin,Treatment of Bacterial infections
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
gabapentin + nortriptyline,Treatment of Neuropathic pain
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
clindamycin + nicotinamide,Treatment of Acne
terbinafine, Fungal infections
cefpodoxime proxetil + dicloxacillin,Treatment of Bacterial infections
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
glycopyrrolate, General Anaesthesia Peptic ulcer disease
acarbose,Treatment of Type 2 diabetes mellitus
gabapentin + methylcobalamin,Treatment of Neuropathic pain
risedronate, Osteoporosis
domperidone + omeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
progesterone, Hormone replacement therapy Female infertility
formoterol + glycopyrrolate, Chronic obstructive pulmonary disease (COPD)
cefpodoxime proxetil,Treatment of Bacterial infections
calcitonin, Post menopausal osteoporosis Paget's disease
voglibose + metformin + gliclazide,Treatment of Type 2 diabetes mellitus
silodosin,Treatment of Benign prostatic hyperplasia
gabapentin,Treatment of Neuropathic painTreatment of Epilepsy/Seizures
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
gabapentin + amitriptyline, Neuropathic pain
cinnarizine + dimenhydrinate,Treatment of Vertigo
cefpodoxime proxetil,Treatment of Bacterial infections
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
granisetron, Nausea and vomiting due to chemotherapy
gliclazide,Treatment of Type 2 diabetes mellitus
gentamicin,Treatment of Bacterial infections
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
hepatitis b vaccine, Prevention of Hepatitis B infection
dimenhydrinate,Treatment of Allergic conditions Motion sickness
glimepiride,Treatment of Type 2 diabetes mellitus
beclometasone + neomycin + clotrimazole,Treatment of Skin infections
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
cefpodoxime proxetil + clavulanic acid,Treatment of Respiratory tract infection
glimepiride,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
terbutaline + bromhexine,Treatment of Cough
granisetron, Nausea and vomiting due to chemotherapy
metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
gabapentin + nortriptyline,Treatment of Neuropathic pain
gliclazide,Treatment of Type 2 diabetes mellitus
metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
ganciclovir, Cytomegalovirus Infection
progesterone, Hormone replacement therapy Female infertility
metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
cefixime + clavulanic acid,Treatment of Bacterial infections
diclofenac + capsaicin based rubefacients + menthol + methyl salicylate + pregabalin, Neuropathic pain
domperidone + omeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
ammonium chloride + sodium citrate + diphenhydramine + menthol, Cough
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
rifaximin,Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
gliclazide,Treatment of Type 2 diabetes mellitus
gliclazide,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
calcitonin, Post menopausal osteoporosis Paget's disease
acarbose + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
gliclazide + metformin,Treatment of Type 2 diabetes mellitus
timolol, Glaucoma Ocular hypertension
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
doxylamine + vitamin b,Treatment of Nausea and vomiting in pregnancy
tamsulosin + dutasteride,Treatment of Benign prostatic hyperplasia
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
granisetron, Nausea and vomiting due to chemotherapy
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
empagliflozin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
lindane, Scabies
gliclazide,Treatment of Type 2 diabetes mellitus
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
levocetirizine,Treatment of Allergic conditions
methylcobalamin + pregabalin,Treatment of Neuropathic pain
bisacodyl,Treatment of Constipation
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
carboxymethylcellulose,Treatment of Dry eyes
gefitinib, Non-small cell lung cancer
gliclazide + metformin,Treatment of Type 2 diabetes mellitus
glimepiride,Treatment of Type 2 diabetes mellitus
human normal immunoglobulin, Immunoglobulins deficiency
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
insulin glargine, Diabetes
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
isoxsuprine,Treatment of Premature LaborTreatment of Peripheral vascular disease
glutathione, Liver  disease
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride,Treatment of Type 2 diabetes mellitus
gabapentin + lidocaine, Neuropathic pain
glycopyrrolate, General Anaesthesia Peptic ulcer disease
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
gliclazide + metformin,Treatment of Type 2 diabetes mellitus
flunarizine,Prevention of Migraine
pregabalin + nortriptyline,Treatment of Neuropathic pain
gabapentin,Treatment of Neuropathic painTreatment of Epilepsy/Seizures
glibenclamide + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
methylcobalamin + pregabalin,Treatment of Neuropathic pain
empagliflozin + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
calcitriol + calcium carbonate + zinc + risedronate, Osteoporosis
cefpodoxime proxetil + cloxacillin + lactobacillus,Treatment of Bacterial infections
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
chlorhexidine gluconate,Treatment of Mouth infection
methylcobalamin + pregabalin,Treatment of Neuropathic pain
clomiphene + melatonin, Female infertility
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
gabapentin,Treatment of Neuropathic painTreatment of Epilepsy/Seizures
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
glimepiride,Treatment of Type 2 diabetes mellitus
chlorpheniramine maleate + paracetamol + phenylephrine,Treatment of Common cold
acarbose + metformin,Treatment of Type 2 diabetes mellitus
isotretinoin,Treatment of Acne
itraconazole,Treatment of Fungal infections
dexamethasone + gatifloxacin,Treatment of Bacterial eye infections
domperidone,Treatment of IndigestionTreatment of NauseaTreatment of Vomiting
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
